,shopid,title,areaname,backCateName,avgprice,avgscore,latitude,longitude,comments,historyCouponCount,city,address,isMain,record
3731,1242823195,奈雪的茶,开发区/高教园,奶茶/果汁,39.0,4.3,30.2007,120.2023,25,547,杭州,滨江区,1,1
3732,1242825365,蜜雪冰城,华电西路,冰淇淋,7.0,4.2,32.1023,118.8111,0,0,南京,栖霞区,1,1
3733,1242932585,茶百道,捞品城,奶茶/果汁,15.0,4.8,31.6302,120.7464,21,238,苏州,常熟市,1,1
3734,1242942089,绣之茶,高新区,奶茶/果汁,16.0,4.4,30.5476,104.0646,91,2412,成都,武侯区,1,1
3735,1243039725,扎手奶茶店,宁国路商业区,奶茶/果汁,0.0,0.0,31.8318,117.293,0,0,合肥,包河区,1,0
3736,1243090166,逅座十二茶,回民区,奶茶/果汁,0.0,0.0,40.8161,111.6426,0,0,呼和浩特,回民区,1,0
3737,1243118175,水恋花语,绿地美食广场,奶茶/果汁,0.0,0.0,40.8192,111.7576,0,0,呼和浩特,赛罕区,1,0
3738,1243151304,CoCo都可,南山路东,奶茶/果汁,13.0,4.1,36.6013,101.7958,3,149,西宁,城东区,1,1
3739,1243155165,书亦烧仙草,左岭,奶茶/果汁,12.0,4.5,30.4905,114.621,761,12538,武汉,洪山区,1,1
3740,1243251617,奶茶妹水果捞,学府路/凯德广场,港台甜品,0.0,0.0,45.7141,126.6265,0,0,哈尔滨,南岗区,1,0
3741,1243262583,桃园三章,大沙地,饮品店,10.0,3.8,23.1058,113.4513,916,15022,广州,黄埔区,0,1
3742,1243268797,蜜雪冰城,长江路,冰淇淋,7.0,4.4,43.7928,87.5953,0,0,乌鲁木齐,沙依巴克区,1,1
3743,1243307498,问岚珍奶,新横州购物中心,奶茶/果汁,3.0,4.5,22.683,109.2674,27,136,南宁,横州市,1,1
3744,1243333331,和气桃桃,滨江道,奶茶/果汁,17.0,4.4,39.1231,117.1985,79,2550,天津,和平区,1,1
3745,1243372459,蜜雪冰城,力旺广场,奶茶/果汁,6.0,4.4,43.8407,125.2908,121,2762,长春,朝阳区,1,1
3746,1243391963,华言豆腐鲜奶茶,太平新城,奶茶/果汁,0.0,0.0,24.9182,102.5754,0,0,昆明,安宁市,1,0
3747,1243420497,云仔奶茶店,京华城,奶茶/果汁,0.0,0.0,20.026,110.3197,0,0,海口,龙华区,1,0
3748,1243613080,绝地吃鸡·奶茶研饮室,青年大街,奶茶/果汁,0.0,4.2,41.7928,123.4333,0,0,沈阳,沈河区,1,0
3749,1243674297,书亦烧仙草,进贤县,奶茶/果汁,14.0,3.8,28.36,116.2649,27,554,南昌,进贤县,1,1
3750,1243733358,柠柠家,道义,奶茶/果汁,20.0,4.6,41.9447,123.4132,20,365,沈阳,沈北新区,1,1
3751,1243766835,书亦烧仙草,昆明南站/呈贡大学城,奶茶/果汁,13.0,4.6,24.843,102.843,375,5206,昆明,呈贡区,1,1
3752,1243878831,书亦烧仙草,黄埭镇,奶茶/果汁,13.0,4.2,31.4328,120.5546,52,1022,苏州,相城区,1,1
3753,1243978417,华言豆腐鲜奶茶,解放碑,奶茶/果汁,10.0,4.6,29.5558,106.5745,224,5138,重庆,渝中区,1,1
3754,1243997268,悸动烧仙草,恒森国际广场,奶茶/果汁,17.0,3.6,31.1491,120.6475,22,306,苏州,吴江区,1,1
3755,1244051112,茶百道,中大银泰城,奶茶/果汁,15.0,4.5,30.327,120.1747,39,769,杭州,拱墅区,1,1
3756,1244088766,七西烧仙草,嘉禾/人和,奶茶/果汁,12.0,4.2,23.2674,113.2945,232,3374,广州,白云区,1,1
3757,1244183671,悟空·棒挞柠檬茶,东葛古城,奶茶/果汁,10.0,4.9,22.816,108.3365,1114,12253,南宁,青秀区,1,1
3758,1244249539,书亦烧仙草,西南交大,奶茶/果汁,12.0,4.0,30.7035,104.0443,428,7549,成都,金牛区,1,1
3759,1244283381,奶茶,省体/湖前,奶茶/果汁,0.0,0.0,26.1083,119.2967,0,0,福州,鼓楼区,1,0
3760,1244283943,甜啦啦,大港城区,奶茶/果汁,14.0,4.7,38.8452,117.4538,309,4011,天津,滨海新区,1,1
3761,1244434062,春莱老挝冰咖啡泰式奶茶,花溪区,奶茶/果汁,0.0,0.0,26.5161,106.7005,1,35,贵阳,花溪区,1,0
3762,1244631576,古茗,武隆县,奶茶/果汁,15.0,4.4,29.323,107.7433,26,544,重庆,武隆区,1,1
3763,1244676131,CoCo都可,经开区,奶茶/果汁,13.0,4.3,31.7543,117.2601,16,598,合肥,蜀山区,1,1
3764,1244714737,阿刁·乃仓,雪新村,奶茶/果汁,0.0,4.4,29.6527,91.1146,61,1652,拉萨,城关区,1,0
3765,1244764336,吾饮良品水果茶,米东区中心城区,奶茶/果汁,11.0,4.1,43.9635,87.6496,136,1600,乌鲁木齐,米东区,1,1
3766,1244837468,茶百道,花果园国际中心,奶茶/果汁,15.0,3.9,26.5628,106.6864,96,1396,贵阳,南明区,1,1
3767,124485754,85度C,塔园路,面包蛋糕,34.0,4.4,31.3007,120.5558,50,0,苏州,虎丘区,0,1
3768,1244861276,我很芒奶茶店,义乌小商品城,奶茶/果汁,10.0,4.3,31.9388,118.8785,82,1059,南京,江宁区,1,1
3769,1244874874,蜜桃里低糖元气茶,世纪城,奶茶/果汁,18.0,4.3,24.9774,102.7622,142,3111,昆明,官渡区,1,1
3770,1244914961,贡茶,奥体中心,奶茶/果汁,13.0,4.9,41.7369,123.4673,121,741,沈阳,浑南区,1,1
3771,1244965172,一芳台湾水果茶,太原街,奶茶/果汁,14.0,4.1,41.7909,123.3992,112,1845,沈阳,和平区,1,1
3772,1245037125,蜜雪冰城,火车站/堤口路,奶茶/果汁,7.0,3.7,36.6746,116.9885,353,5588,济南,天桥区,1,1
3773,1245054088,茶亭序·国风鲜茶馆,塘桥镇,奶茶/果汁,14.0,4.7,31.8154,120.6423,44,418,苏州,张家港市,1,1
3774,1245233169,R&B TEA 珍奶,米东区,奶茶/果汁,20.0,3.9,43.9652,87.6979,13,122,乌鲁木齐,米东区,1,1
3775,1245435873,蜜雪冰城,田寮/长圳,奶茶/果汁,6.0,3.7,22.7299,113.9038,10,115,深圳,光明区,1,1
